"","Participant_ID","Seq_part","Verb","Davies_Rank","Davies_Rating","CORPES_Rank","CORPES_Rating","WordList_Rank","WordList_Rating","Part_Rating","FofU_Comp","FofU_Prod","DELE","AoA_ENG","Davies_Std","CORPES_Std","WordList_Std","SRLF_Std","FofU","FofU_Std","DELE_Std","AoA_ENG_Std"
"879","HSP32",32,"conseguir",19,129144,16,93382,14,5927320,5,13,13,43,3,-0.436847159487049,-0.362550791150298,-0.286040192495192,-0.0457046144319584,26,-0.305985617983718,0.691688201829695,0.224763548695409
"880","HSP33",33,"conseguir",19,129144,16,93382,14,5927320,5,15,15,43,0,-0.436847159487049,-0.362550791150298,-0.286040192495192,-0.0457046144319584,30,0.207009297578836,0.691688201829695,-1.05445291624808
"881","HSP34",34,"conseguir",19,129144,16,93382,14,5927320,6,7,7,42,8,-0.436847159487049,-0.362550791150298,-0.286040192495192,0.354778913132052,14,-1.84497036467138,0.524942877600801,2.35679099026789
"882","HSP35",35,"conseguir",19,129144,16,93382,14,5927320,9,17,17,37,0,-0.436847159487049,-0.362550791150298,-0.286040192495192,1.55622949582408,34,0.72000421314139,-0.308783743543671,-1.05445291624808
"883","HSP36",36,"conseguir",19,129144,16,93382,14,5927320,4,9,11,45,0,-0.436847159487049,-0.362550791150298,-0.286040192495192,-0.446188141995969,20,-1.07547799132755,1.02517885028748,-1.05445291624808
"884","HSP41",41,"conseguir",19,129144,16,93382,14,5927320,2,6,7,39,0,-0.436847159487049,-0.362550791150298,-0.286040192495192,-1.24715519712399,13,-1.97321909356202,0.0247069049141176,-1.05445291624808
"885","HSP42",42,"conseguir",19,129144,16,93382,14,5927320,4,13,13,29,3,-0.436847159487049,-0.362550791150298,-0.286040192495192,-0.446188141995969,26,-0.305985617983718,-1.64274633737483,0.224763548695409
"886","HSP45",45,"conseguir",19,129144,16,93382,14,5927320,5,14,14,44,4,-0.436847159487049,-0.362550791150298,-0.286040192495192,-0.0457046144319584,28,-0.0494881602024406,0.85843352605859,0.651169037009904
"887","HSP46",46,"conseguir",19,129144,16,93382,14,5927320,7,15,15,35,3,-0.436847159487049,-0.362550791150298,-0.286040192495192,0.755262440696062,30,0.207009297578836,-0.64227439200146,0.224763548695409
"888","HSP47",47,"conseguir",19,129144,16,93382,14,5927320,5,14,11,34,0,-0.436847159487049,-0.362550791150298,-0.286040192495192,-0.0457046144319584,25,-0.434234346874356,-0.809019716230355,-1.05445291624808
"889","HSP48",48,"conseguir",19,129144,16,93382,14,5927320,4,11,11,34,4,-0.436847159487049,-0.362550791150298,-0.286040192495192,-0.446188141995969,22,-0.818980533546271,-0.809019716230355,0.651169037009904
"890","HSP49",49,"conseguir",19,129144,16,93382,14,5927320,8,19,18,49,4,-0.436847159487049,-0.362550791150298,-0.286040192495192,1.15574596826007,37,1.10475039981331,1.69216014720306,0.651169037009904
"891","HSP50",50,"conseguir",19,129144,16,93382,14,5927320,5,12,14,44,4,-0.436847159487049,-0.362550791150298,-0.286040192495192,-0.0457046144319584,26,-0.305985617983718,0.85843352605859,0.651169037009904
"892","HSP51",51,"conseguir",19,129144,16,93382,14,5927320,5,13,13,38,0,-0.436847159487049,-0.362550791150298,-0.286040192495192,-0.0457046144319584,26,-0.305985617983718,-0.142038419314777,-1.05445291624808
"893","HSP52",52,"conseguir",19,129144,16,93382,14,5927320,4,13,12,43,0,-0.436847159487049,-0.362550791150298,-0.286040192495192,-0.446188141995969,25,-0.434234346874356,0.691688201829695,-1.05445291624808
"894","HSP53",53,"conseguir",19,129144,16,93382,14,5927320,4,21,21,43,5,-0.436847159487049,-0.362550791150298,-0.286040192495192,-0.446188141995969,42,1.7459940442665,0.691688201829695,1.0775745253244
"895","HSP54",54,"conseguir",19,129144,16,93382,14,5927320,8,20,20,42,8,-0.436847159487049,-0.362550791150298,-0.286040192495192,1.15574596826007,40,1.48949658648522,0.524942877600801,2.35679099026789
"896","HSP55",55,"conseguir",19,129144,16,93382,14,5927320,5,21,22,43,4,-0.436847159487049,-0.362550791150298,-0.286040192495192,-0.0457046144319584,43,1.87424277315714,0.691688201829695,0.651169037009904
"897","HSP56",56,"conseguir",19,129144,16,93382,14,5927320,5,12,12,31,0,-0.436847159487049,-0.362550791150298,-0.286040192495192,-0.0457046144319584,24,-0.562483075764994,-1.30925568891704,-1.05445291624808
"898","HSP57",57,"conseguir",19,129144,16,93382,14,5927320,4,12,15,38,5,-0.436847159487049,-0.362550791150298,-0.286040192495192,-0.446188141995969,27,-0.177736889093079,-0.142038419314777,1.0775745253244
"899","HSP58",58,"conseguir",19,129144,16,93382,14,5927320,5,18,20,35,1,-0.436847159487049,-0.362550791150298,-0.286040192495192,-0.0457046144319584,38,1.23299912870394,-0.64227439200146,-0.628047427933582
"900","HSP59",59,"conseguir",19,129144,16,93382,14,5927320,9,16,18,48,0,-0.436847159487049,-0.362550791150298,-0.286040192495192,1.55622949582408,34,0.72000421314139,1.52541482297417,-1.05445291624808
"901","HSP61",61,"conseguir",19,129144,16,93382,14,5927320,5,8,8,29,4,-0.436847159487049,-0.362550791150298,-0.286040192495192,-0.0457046144319584,16,-1.5884729068901,-1.64274633737483,0.651169037009904
"902","HSP01",1,"necesitar",11,593469,15,99902,13,6284798,6,10,13,45,0,-0.252817286757044,-0.346899375343064,-0.273043272155583,0.354778913132052,23,-0.690731804655633,1.02517885028748,-1.05445291624808
"903","HSP02",2,"necesitar",11,593469,15,99902,13,6284798,6,12,13,38,0,-0.252817286757044,-0.346899375343064,-0.273043272155583,0.354778913132052,25,-0.434234346874356,-0.142038419314777,-1.05445291624808
"904","HSP03",3,"necesitar",11,593469,15,99902,13,6284798,7,21,22,40,3,-0.252817286757044,-0.346899375343064,-0.273043272155583,0.755262440696062,43,1.87424277315714,0.191452229143012,0.224763548695409
"905","HSP04",4,"necesitar",11,593469,15,99902,13,6284798,7,15,16,40,0,-0.252817286757044,-0.346899375343064,-0.273043272155583,0.755262440696062,31,0.335258026469475,0.191452229143012,-1.05445291624808
"906","HSP05",5,"necesitar",11,593469,15,99902,13,6284798,5,15,12,40,0,-0.252817286757044,-0.346899375343064,-0.273043272155583,-0.0457046144319584,27,-0.177736889093079,0.191452229143012,-1.05445291624808
"907","HSP06",6,"necesitar",11,593469,15,99902,13,6284798,8,20,20,49,0,-0.252817286757044,-0.346899375343064,-0.273043272155583,1.15574596826007,40,1.48949658648522,1.69216014720306,-1.05445291624808
"908","HSP07",7,"necesitar",11,593469,15,99902,13,6284798,8,11,12,39,7,-0.252817286757044,-0.346899375343064,-0.273043272155583,1.15574596826007,23,-0.690731804655633,0.0247069049141176,1.93038550195339
"909","HSP08",8,"necesitar",11,593469,15,99902,13,6284798,3,13,11,41,5,-0.252817286757044,-0.346899375343064,-0.273043272155583,-0.846671669559979,24,-0.562483075764994,0.358197553371906,1.0775745253244
"910","HSP09",9,"necesitar",11,593469,15,99902,13,6284798,6,12,11,30,0,-0.252817286757044,-0.346899375343064,-0.273043272155583,0.354778913132052,23,-0.690731804655633,-1.47600101314593,-1.05445291624808
"911","HSP10",10,"necesitar",11,593469,15,99902,13,6284798,9,16,16,43,4,-0.252817286757044,-0.346899375343064,-0.273043272155583,1.55622949582408,32,0.463506755360113,0.691688201829695,0.651169037009904
"912","HSP11",11,"necesitar",11,593469,15,99902,13,6284798,9,13,13,34,3,-0.252817286757044,-0.346899375343064,-0.273043272155583,1.55622949582408,26,-0.305985617983718,-0.809019716230355,0.224763548695409
"913","HSP12",12,"necesitar",11,593469,15,99902,13,6284798,9,19,19,42,7,-0.252817286757044,-0.346899375343064,-0.273043272155583,1.55622949582408,38,1.23299912870394,0.524942877600801,1.93038550195339
"914","HSP13",13,"necesitar",11,593469,15,99902,13,6284798,7,19,19,42,0,-0.252817286757044,-0.346899375343064,-0.273043272155583,0.755262440696062,38,1.23299912870394,0.524942877600801,-1.05445291624808
"915","HSP14",14,"necesitar",11,593469,15,99902,13,6284798,5,13,16,28,0,-0.252817286757044,-0.346899375343064,-0.273043272155583,-0.0457046144319584,29,0.0787605686881978,-1.80949166160372,-1.05445291624808
"916","HSP15",15,"necesitar",11,593469,15,99902,13,6284798,4,11,11,37,0,-0.252817286757044,-0.346899375343064,-0.273043272155583,-0.446188141995969,22,-0.818980533546271,-0.308783743543671,-1.05445291624808
"917","HSP16",16,"necesitar",11,593469,15,99902,13,6284798,9,18,17,31,3,-0.252817286757044,-0.346899375343064,-0.273043272155583,1.55622949582408,35,0.848252942032029,-1.30925568891704,0.224763548695409
"918","HSP17",17,"necesitar",11,593469,15,99902,13,6284798,5,15,15,45,4,-0.252817286757044,-0.346899375343064,-0.273043272155583,-0.0457046144319584,30,0.207009297578836,1.02517885028748,0.651169037009904
"919","HSP18",18,"necesitar",11,593469,15,99902,13,6284798,5,16,16,44,4,-0.252817286757044,-0.346899375343064,-0.273043272155583,-0.0457046144319584,32,0.463506755360113,0.85843352605859,0.651169037009904
"920","HSP19",19,"necesitar",11,593469,15,99902,13,6284798,4,16,20,30,0,-0.252817286757044,-0.346899375343064,-0.273043272155583,-0.446188141995969,36,0.976501670922667,-1.47600101314593,-1.05445291624808
"921","HSP20",20,"necesitar",11,593469,15,99902,13,6284798,5,7,6,42,4,-0.252817286757044,-0.346899375343064,-0.273043272155583,-0.0457046144319584,13,-1.97321909356202,0.524942877600801,0.651169037009904
"922","HSP21",21,"necesitar",11,593469,15,99902,13,6284798,8,12,15,42,0,-0.252817286757044,-0.346899375343064,-0.273043272155583,1.15574596826007,27,-0.177736889093079,0.524942877600801,-1.05445291624808
"923","HSP22",22,"necesitar",11,593469,15,99902,13,6284798,5,5,6,32,4,-0.252817286757044,-0.346899375343064,-0.273043272155583,-0.0457046144319584,11,-2.22971655134329,-1.14251036468814,0.651169037009904
"924","HSP23",23,"necesitar",11,593469,15,99902,13,6284798,3,19,20,42,4,-0.252817286757044,-0.346899375343064,-0.273043272155583,-0.846671669559979,39,1.36124785759458,0.524942877600801,0.651169037009904
"925","HSP24",24,"necesitar",11,593469,15,99902,13,6284798,5,16,16,48,5,-0.252817286757044,-0.346899375343064,-0.273043272155583,-0.0457046144319584,32,0.463506755360113,1.52541482297417,1.0775745253244
"926","HSP25",25,"necesitar",11,593469,15,99902,13,6284798,7,15,15,42,3,-0.252817286757044,-0.346899375343064,-0.273043272155583,0.755262440696062,30,0.207009297578836,0.524942877600801,0.224763548695409
"927","HSP27",27,"necesitar",11,593469,15,99902,13,6284798,9,16,14,35,0,-0.252817286757044,-0.346899375343064,-0.273043272155583,1.55622949582408,30,0.207009297578836,-0.64227439200146,-1.05445291624808
"928","HSP28",28,"necesitar",11,593469,15,99902,13,6284798,6,8,9,39,3,-0.252817286757044,-0.346899375343064,-0.273043272155583,0.354778913132052,17,-1.46022417799946,0.0247069049141176,0.224763548695409
"929","HSP29",29,"necesitar",11,593469,15,99902,13,6284798,5,14,16,25,2,-0.252817286757044,-0.346899375343064,-0.273043272155583,-0.0457046144319584,30,0.207009297578836,-2.3097276342904,-0.201641939619087
"930","HSP30",30,"necesitar",11,593469,15,99902,13,6284798,4,14,16,25,2,-0.252817286757044,-0.346899375343064,-0.273043272155583,-0.446188141995969,30,0.207009297578836,-2.3097276342904,-0.201641939619087
"931","HSP31",31,"necesitar",11,593469,15,99902,13,6284798,9,12,11,41,4,-0.252817286757044,-0.346899375343064,-0.273043272155583,1.55622949582408,23,-0.690731804655633,0.358197553371906,0.651169037009904
"932","HSP32",32,"necesitar",11,593469,15,99902,13,6284798,5,13,13,43,3,-0.252817286757044,-0.346899375343064,-0.273043272155583,-0.0457046144319584,26,-0.305985617983718,0.691688201829695,0.224763548695409
"933","HSP33",33,"necesitar",11,593469,15,99902,13,6284798,6,15,15,43,0,-0.252817286757044,-0.346899375343064,-0.273043272155583,0.354778913132052,30,0.207009297578836,0.691688201829695,-1.05445291624808
"934","HSP34",34,"necesitar",11,593469,15,99902,13,6284798,7,7,7,42,8,-0.252817286757044,-0.346899375343064,-0.273043272155583,0.755262440696062,14,-1.84497036467138,0.524942877600801,2.35679099026789
"935","HSP35",35,"necesitar",11,593469,15,99902,13,6284798,8,17,17,37,0,-0.252817286757044,-0.346899375343064,-0.273043272155583,1.15574596826007,34,0.72000421314139,-0.308783743543671,-1.05445291624808
"936","HSP36",36,"necesitar",11,593469,15,99902,13,6284798,2,9,11,45,0,-0.252817286757044,-0.346899375343064,-0.273043272155583,-1.24715519712399,20,-1.07547799132755,1.02517885028748,-1.05445291624808
"937","HSP41",41,"necesitar",11,593469,15,99902,13,6284798,7,6,7,39,0,-0.252817286757044,-0.346899375343064,-0.273043272155583,0.755262440696062,13,-1.97321909356202,0.0247069049141176,-1.05445291624808
"938","HSP42",42,"necesitar",11,593469,15,99902,13,6284798,4,13,13,29,3,-0.252817286757044,-0.346899375343064,-0.273043272155583,-0.446188141995969,26,-0.305985617983718,-1.64274633737483,0.224763548695409
"939","HSP45",45,"necesitar",11,593469,15,99902,13,6284798,4,14,14,44,4,-0.252817286757044,-0.346899375343064,-0.273043272155583,-0.446188141995969,28,-0.0494881602024406,0.85843352605859,0.651169037009904
"940","HSP46",46,"necesitar",11,593469,15,99902,13,6284798,7,15,15,35,3,-0.252817286757044,-0.346899375343064,-0.273043272155583,0.755262440696062,30,0.207009297578836,-0.64227439200146,0.224763548695409
